location_id,store_code,name,address,city,state,pincode,latitude,longitude,primary_category,phone,website,average_rating,total_reviews,is_verified
c200addf-e7ef-4cb8-8f05-42b69f3bad98,CHA-001,Medical Clinic - Chandigarh,"457, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,685930,30.78161,76.728378,Medical Clinic,+91-7289254563,https://healthcare-brand.com/cha-001,2.6,67,True
7103955b-c2c2-4742-a11f-361b8abd9d41,MUM-001,Diagnostic Center - Andheri,"113, Andheri Main Road, Andheri",Mumbai,Maharashtra,400058,19.022532,72.898104,Diagnostic Center,+91-8847338124,https://healthcare-brand.com/mum-001,4.2,93,True
cd6dba72-7947-443e-a3ae-e55beb091559,MUM-002,Eye Care Center - Bandra,"50, Bandra Main Road, Bandra",Mumbai,Maharashtra,400046,19.060523,72.833274,Eye Care Center,+91-9756164955,https://healthcare-brand.com/mum-002,3.6,88,True
76fb61ba-b9e4-4c15-9115-505453cec359,NOI-001,Eye Care Center - Noida,"317, Noida Main Road, Noida",Noida,Uttar Pradesh,589601,28.527385,77.315965,Eye Care Center,+91-8835808537,https://healthcare-brand.com/noi-001,4.6,260,True
69570c06-47a2-4e00-8735-2b7dba3156be,MUM-003,Diagnostic Center - Borivali,"326, Borivali Main Road, Borivali",Mumbai,Maharashtra,400047,19.130614,72.974744,Diagnostic Center,+91-7559684848,https://healthcare-brand.com/mum-003,3.9,98,True
bae89f03-99cc-4047-9ceb-2c85bf045ce1,CHA-002,Eye Care Center - Chandigarh,"237, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,598944,30.820631,76.809007,Eye Care Center,+91-7895899313,https://healthcare-brand.com/cha-002,4.9,141,True
a261eb47-36e5-4cb2-a491-abd4d8a59812,HYD-001,Physiotherapy Center - Gachibowli,"109, Gachibowli Main Road, Gachibowli",Hyderabad,Telangana,500073,17.438663,78.397888,Physiotherapy Center,+91-9852235350,https://healthcare-brand.com/hyd-001,3.9,48,True
d34a9a6d-4d2e-4269-8a13-47ebe1f9bbfa,AHM-001,Eye Care Center - CG Road,"220, CG Road Main Road, CG Road",Ahmedabad,Gujarat,380058,23.01427,72.524376,Eye Care Center,+91-8863606628,https://healthcare-brand.com/ahm-001,3.8,114,True
db95673d-1e1a-458f-ba4e-6eb26cf4d69a,BAN-001,Pharmacy - Jayanagar,"349, Jayanagar Main Road, Jayanagar",Bangalore,Karnataka,560055,12.889782,77.504023,Pharmacy,+91-8918526544,https://healthcare-brand.com/ban-001,3.1,70,True
16221448-4597-49e7-8f57-d03e1669f805,LUC-001,Dental Clinic - Aliganj,"385, Aliganj Main Road, Aliganj",Lucknow,Uttar Pradesh,226009,26.796983,80.956845,Dental Clinic,+91-9496028436,https://healthcare-brand.com/luc-001,3.6,108,True
5fac8155-dbfb-4de0-82c3-daca29feeb49,CHE-001,Diagnostic Center - Adyar,"260, Adyar Main Road, Adyar",Chennai,Tamil Nadu,600117,13.073445,80.361463,Diagnostic Center,+91-7393926371,https://healthcare-brand.com/che-001,4.0,62,True
d5efcd91-04f4-4f05-8958-e05c93f30bc2,CHA-003,Diagnostic Center - Chandigarh,"166, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,656171,30.708083,76.71171,Diagnostic Center,+91-7025014631,https://healthcare-brand.com/cha-003,4.4,116,True
77db6679-766f-48c1-bd35-091cb42a5e6c,KOC-001,Diagnostic Center - Kochi,"390, Kochi Main Road, Kochi",Kochi,Kerala,679292,9.842785,76.342902,Diagnostic Center,+91-9426879290,https://healthcare-brand.com/koc-001,4.7,117,True
4024d02c-5c28-43a6-b6ee-8e4c312e8224,AHM-002,Diagnostic Center - Vastrapur,"354, Vastrapur Main Road, Vastrapur",Ahmedabad,Gujarat,380013,22.975511,72.645887,Diagnostic Center,+91-9251837852,https://healthcare-brand.com/ahm-002,4.0,133,True
441f5724-2418-4655-ba29-d09d1a34c32b,CHA-004,Pharmacy - Chandigarh,"118, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,515458,30.813223,76.769697,Pharmacy,+91-7019528530,https://healthcare-brand.com/cha-004,4.5,241,True
5ae48bc4-b380-41d9-a346-ee8919814932,MUM-004,Medical Clinic - Bandra,"249, Bandra Main Road, Bandra",Mumbai,Maharashtra,400028,19.157084,72.949627,Medical Clinic,+91-8727758595,https://healthcare-brand.com/mum-004,2.7,62,True
34b60802-ad5c-4b43-be62-077f1101aea4,KOC-002,Diagnostic Center - Kochi,"211, Kochi Main Road, Kochi",Kochi,Kerala,644856,9.988124,76.328799,Diagnostic Center,+91-9717270733,https://healthcare-brand.com/koc-002,4.7,208,True
9f127e9e-7b99-4630-b32d-e32e0323741d,CHA-005,Medical Clinic - Chandigarh,"72, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,621188,30.713824,76.747261,Medical Clinic,+91-7547385696,https://healthcare-brand.com/cha-005,3.7,97,True
9ce8cccb-498b-4b03-800e-bb35ebce7eb6,IND-001,Pharmacy - Indore,"429, Indore Main Road, Indore",Indore,Madhya Pradesh,407738,22.781204,75.928893,Pharmacy,+91-7241726318,https://healthcare-brand.com/ind-001,3.2,54,True
96ba4331-2862-4a3a-bff5-8528e6eaaa28,AHM-003,Diagnostic Center - CG Road,"402, CG Road Main Road, CG Road",Ahmedabad,Gujarat,380030,23.09543,72.651889,Diagnostic Center,+91-7966775103,https://healthcare-brand.com/ahm-003,4.7,300,True
29e0527a-02d7-4c76-8bfc-a9ffe4dfc971,GUR-001,Diagnostic Center - Gurgaon,"383, Gurgaon Main Road, Gurgaon",Gurgaon,Haryana,564420,28.39748,76.97014,Diagnostic Center,+91-7116729990,https://healthcare-brand.com/gur-001,3.2,23,True
82ed208b-1cca-4e5f-803d-2754558b4cb7,JAI-001,Diagnostic Center - Raja Park,"207, Raja Park Main Road, Raja Park",Jaipur,Rajasthan,302008,26.823776,75.788866,Diagnostic Center,+91-9886460539,https://healthcare-brand.com/jai-001,4.5,160,True
1302182e-13c4-4fdd-be4f-8d17a5fe4a04,LUC-002,Dental Clinic - Hazratganj,"367, Hazratganj Main Road, Hazratganj",Lucknow,Uttar Pradesh,226011,26.763097,80.977675,Dental Clinic,+91-7745650176,https://healthcare-brand.com/luc-002,3.8,125,True
717110fa-5458-408d-8d59-12b3e9e19fd6,CHA-006,Pharmacy - Chandigarh,"52, Chandigarh Main Road, Chandigarh",Chandigarh,Punjab,438410,30.696535,76.829773,Pharmacy,+91-8738609087,https://healthcare-brand.com/cha-006,3.0,56,True
17f18a2c-cf71-4d33-b280-721a33376dca,BAN-002,Medical Clinic - Whitefield,"414, Whitefield Main Road, Whitefield",Bangalore,Karnataka,560084,13.047454,77.568505,Medical Clinic,+91-8611049999,https://healthcare-brand.com/ban-002,4.2,118,True
577d211a-1ad3-47a7-969c-f356467a0738,JAI-002,Eye Care Center - Vaishali Nagar,"140, Vaishali Nagar Main Road, Vaishali Nagar",Jaipur,Rajasthan,302019,26.833117,75.862925,Eye Care Center,+91-8938270233,https://healthcare-brand.com/jai-002,4.2,59,True
98e37f24-40aa-4948-8e8e-073e92aaa50d,HYD-002,Dental Clinic - Gachibowli,"23, Gachibowli Main Road, Gachibowli",Hyderabad,Telangana,500001,17.382706,78.567767,Dental Clinic,+91-8027558317,https://healthcare-brand.com/hyd-002,4.7,170,True
